,AChristmasCarolinProse,AliceinWonderland,APicklefortheKnowingOnes,Frankenstein,Gulliver's_Travels,HeartofDarkness,lifeonthemississippi,Pygmalion,TheArtofWar,TheTimeMachine
AChristmasCarolinProse,0.9999999999999999,0.14538632593194747,0.10001564669223587,0.1959321529584586,0.18805695351619556,0.23141043109093928,0.23358002091818658,0.07420223026811625,0.04938288430960165,0.21450629392594114
AliceinWonderland,0.14538632593194747,1.0000000000000002,0.07625252680049856,0.15868261289145832,0.1888273514016424,0.24755477330669284,0.23434276765202003,0.06990959124998856,0.05377457055581765,0.2216491288729398
APicklefortheKnowingOnes,0.10001564669223587,0.07625252680049856,0.9999999999999999,0.19362521078886233,0.23330238191430658,0.2019971793026759,0.24194180196752077,0.06347888004080068,0.07456268113626863,0.16980346421388928
Frankenstein,0.1959321529584586,0.15868261289145832,0.19362521078886233,1.0000000000000002,0.4626504935726084,0.39981619682907504,0.4275367774867486,0.10466740240874392,0.13857444637120686,0.39316778825335597
Gulliver's_Travels,0.18805695351619556,0.1888273514016424,0.23330238191430658,0.4626504935726084,0.9999999999999999,0.40241325047799636,0.4837540797433707,0.10643504789138267,0.1765011010525799,0.4103009870344405
HeartofDarkness,0.23141043109093928,0.24755477330669284,0.2019971793026759,0.39981619682907504,0.40241325047799636,1.0,0.5452876225621394,0.14104033011873043,0.11861455148734974,0.47580220842870524
lifeonthemississippi,0.23358002091818658,0.23434276765202003,0.24194180196752077,0.4275367774867486,0.4837540797433707,0.5452876225621394,1.0000000000000002,0.1465532239636831,0.16005150067024093,0.4635108111926365
Pygmalion,0.07420223026811625,0.06990959124998856,0.06347888004080068,0.10466740240874392,0.10643504789138267,0.14104033011873043,0.1465532239636831,0.9999999999999999,0.033054788750676016,0.10275848449002686
TheArtofWar,0.04938288430960165,0.05377457055581765,0.07456268113626863,0.13857444637120686,0.1765011010525799,0.11861455148734974,0.16005150067024093,0.033054788750676016,1.0,0.11493802448605471
TheTimeMachine,0.21450629392594114,0.2216491288729398,0.16980346421388928,0.39316778825335597,0.4103009870344405,0.47580220842870524,0.4635108111926365,0.10275848449002686,0.11493802448605471,1.0
